,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
12811,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",460,250
14119,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",540,250
14100,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",476,250
16019,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",402,250
12141,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",476,250
12350,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",403,250
13557,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",524,250
2002,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",992,250
14339,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",586,250
13988,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",406,250
13685,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",494,250
12866,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",526,250
14113,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",586,250
16662,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",992,250
13265,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",526,250
13031,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",562,250
13772,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",570,250
14206,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",570,250
16174,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",423,250
12784,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",406,250
16667,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",913,250
13408,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",962,250
13556,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",403,250
16175,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",423,250
15638,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",230,250
15672,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",524,250
12236,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",581,250
13802,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",472,250
12624,"[""16"" - ""21""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",880,250
4234,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",570,251
4418,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",494,251
1960,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",472,251
3882,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",893,251
3612,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,251
4237,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",231,251
3887,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",230,251
2347,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",842,251
3273,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",411,251
3534,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",496,251
2384,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,251
13840,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",423,251
4363,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",562,251
3376,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",570,251
1987,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,251
2209,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",896,251
2447,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,251
3693,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",964,251
4019,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",402,251
3501,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",896,251
4478,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",880,251
4242,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",411,251
2461,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",422,251
3213,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",102,251
2037,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",254,251
2385,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",402,251
3257,"[""26"" - ""62""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",254,251
4116,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",551,252
4338,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",992,252
4066,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",992,252
3849,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",422,252
3886,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",570,252
3896,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",476,252
2292,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",494,252
2039,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",443,252
4522,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,252
4448,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",472,252
2261,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",561,252
2255,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",201,252
3663,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",494,252
3212,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,252
3735,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",500,252
4143,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",470,252
3251,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",531,252
3965,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",476,252
4417,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",516,252
2307,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",460,252
4089,"[""16"" - ""26""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""0"" - ""8""]",360,252
